LOCALE,KEY,VALUE,CONTEXT,JSON,VALUE-UNDERSCORE
zh,admin.address.country.other,國家,,"'admin.address.country.other':'國家',",
zh,admin.address.country.select,選擇一個國家,,"'admin.address.country.select':'選擇一個國家',",
zh,admin.address.label,類型,,"'admin.address.label':'類型',",
zh,admin.address.postal_code,拉鍊,,"'admin.address.postal_code':'拉鍊',",
zh,admin.address.state.one,州,,"'admin.address.state.one':'州',",
zh,admin.address.state.other,狀態,,"'admin.address.state.other':'狀態',",
zh,admin.address.state.select,選擇一個國家,,"'admin.address.state.select':'選擇一個國家',",
zh,admin.addresstype.office,辦公室,,"'admin.addresstype.office':'辦公室',",
zh,admin.addresstype.shipping,送貨,,"'admin.addresstype.shipping':'送貨',",
zh,admin.amount,量,,"'admin.amount':'量',",
zh,admin.approval.one,審批,,"'admin.approval.one':'審批',",
zh,admin.approval.other,認證,,"'admin.approval.other':'認證',",
zh,admin.assignment.one,轉讓個人資料,,"'admin.assignment.one':'轉讓個人資料',",
zh,admin.assignment.other,分配簡介,,"'admin.assignment.other':'分配簡介',",
zh,admin.category.label.children,子分類,,"'admin.category.label.children':'子分類',",
zh,admin.category.label.cost_amount,成本金額,,"'admin.category.label.cost_amount':'成本金額',",
zh,admin.category.label.cost_code,成本碼,,"'admin.category.label.cost_code':'成本碼',",
zh,admin.category.label.cost_currency,成本貨幣,,"'admin.category.label.cost_currency':'成本貨幣',",
zh,admin.category.label.description,描述,,"'admin.category.label.description':'描述',",
zh,admin.category.label.general,一般,,"'admin.category.label.general':'一般',",
zh,admin.category.label.label,標籤,,"'admin.category.label.label':'標籤',",
zh,admin.category.label.name,名稱,,"'admin.category.label.name':'名稱',",
zh,admin.category.label.subcategory_label,子類別標籤,,"'admin.category.label.subcategory_label':'子類別標籤',",
zh,admin.category.labelCat.issue,問題,,"'admin.category.labelCat.issue':'問題',",
zh,admin.category.labelCat.trade,行業,,"'admin.category.labelCat.trade':'行業',",
zh,admin.category.labelCat.type,類型,,"'admin.category.labelCat.type':'類型',",
zh,admin.category.name.loss_prevention,防損,,"'admin.category.name.loss_prevention':'防損',",
zh,admin.category.name.maintenance,保養,,"'admin.category.name.maintenance':'保養',",
zh,admin.category.name.repair,修復,,"'admin.category.name.repair':'修復',",
zh,admin.category.one,類別,,"'admin.category.one':'類別',",
zh,admin.category.other,分類,,"'admin.category.other':'分類',",
zh,admin.category.status.active,活性,,"'admin.category.status.active':'活性',",
zh,admin.categoryType.one,分類型,,"'admin.categoryType.one':'分類型',",
zh,admin.categoryType.other,分類類型,,"'admin.categoryType.other':'分類類型',",
zh,admin.company.one,公司,,"'admin.company.one':'公司',",
zh,admin.company.other,公司,,"'admin.company.other':'公司',",
zh,admin.contractor.one,承包商,,"'admin.contractor.one':'承包商',",
zh,admin.contractor.other,承包商,,"'admin.contractor.other':'承包商',",
zh,admin.contractorAssignment.one,承包商分配,,"'admin.contractorAssignment.one':'承包商分配',",
zh,admin.contractorAssignment.other,承包商分配,,"'admin.contractorAssignment.other':'承包商分配',",
zh,admin.general.one,一般設置,,"'admin.general.one':'一般設置',",
zh,admin.general.other,常規設置,,"'admin.general.other':'常規設置',",
zh,admin.location.label.general,一般,,"'admin.location.label.general':'一般',",
zh,admin.location.label.location_level,組織,,"'admin.location.label.location_level':'組織',",
zh,admin.location.label.name,名稱,,"'admin.location.label.name':'名稱',",
zh,admin.location.label.number,數,,"'admin.location.label.number':'數',",
zh,admin.location.label.status,狀態,,"'admin.location.label.status':'狀態',",
zh,admin.location.one,位置,,"'admin.location.one':'位置',",
zh,admin.location.other,地點,,"'admin.location.other':'地點',",
zh,admin.location.status.closed,關閉,,"'admin.location.status.closed':'關閉',",
zh,admin.location.status.future,未來,,"'admin.location.status.future':'未來',",
zh,admin.location.status.open,打開,,"'admin.location.status.open':'打開',",
zh,admin.locationlevel.company,公司,,"'admin.locationlevel.company':'公司',",
zh,admin.locationlevel.department,部門,,"'admin.locationlevel.department':'部門',",
zh,admin.locationlevel.district,區,,"'admin.locationlevel.district':'區',",
zh,admin.locationlevel.fmd,設施管理區,,"'admin.locationlevel.fmd':'設施管理區',",
zh,admin.locationlevel.fmu,設施管理區,,"'admin.locationlevel.fmu':'設施管理區',",
zh,admin.locationlevel.label.childOrg,兒童組織（S）,,"'admin.locationlevel.label.childOrg':'兒童組織（S）',",
zh,admin.locationlevel.label.general,一般,,"'admin.locationlevel.label.general':'一般',",
zh,admin.locationlevel.label.name,名稱,,"'admin.locationlevel.label.name':'名稱',",
zh,admin.locationlevel.one,地點一層,,"'admin.locationlevel.one':'地點一層',",
zh,admin.locationlevel.other,位置水平,,"'admin.locationlevel.other':'位置水平',",
zh,admin.locationlevel.region,地區,,"'admin.locationlevel.region':'地區',",
zh,admin.locationlevel.store,商店,,"'admin.locationlevel.store':'商店',",
zh,admin.notification.one,通知配置,,"'admin.notification.one':'通知配置',",
zh,admin.notification.other,通知簡介,,"'admin.notification.other':'通知簡介',",
zh,admin.person.label.address,地址,,"'admin.person.label.address':'地址',",
zh,admin.person.label.auth_amount,驗證。量,,"'admin.person.label.auth_amount':'驗證。量',",
zh,admin.person.label.change_password,更改,,"'admin.person.label.change_password':'更改',",
zh,admin.person.label.contact,聯繫,,"'admin.person.label.contact':'聯繫',",
zh,admin.person.label.credentials,證書,,"'admin.person.label.credentials':'證書',",
zh,admin.person.label.email,電子郵件,,"'admin.person.label.email':'電子郵件',",
zh,admin.person.label.employee_id,員工號,,"'admin.person.label.employee_id':'員工號',",
zh,admin.person.label.first_name,名字,,"'admin.person.label.first_name':'名字',",
zh,admin.person.label.fullname,名稱,,"'admin.person.label.fullname':'名稱',",
zh,admin.person.label.general,一般,,"'admin.person.label.general':'一般',",
zh,admin.person.label.language,語言,,"'admin.person.label.language':'語言',",
zh,admin.person.label.last_name,姓,,"'admin.person.label.last_name':'姓',",
zh,admin.person.label.location,位置,,"'admin.person.label.location':'位置',",
zh,admin.person.label.middle_initial,中間,,"'admin.person.label.middle_initial':'中間',",
zh,admin.person.label.password,密碼,,"'admin.person.label.password':'密碼',",
zh,admin.person.label.phone_number.one,電話號碼,,"'admin.person.label.phone_number.one':'電話號碼',",
zh,admin.person.label.phone_number.other,電話號碼,,"'admin.person.label.phone_number.other':'電話號碼',",
zh,admin.person.label.role,角色,,"'admin.person.label.role':'角色',",
zh,admin.person.label.status,狀態,,"'admin.person.label.status':'狀態',",
zh,admin.person.label.title,標題,,"'admin.person.label.title':'標題',",
zh,admin.person.label.username,用戶名,,"'admin.person.label.username':'用戶名',",
zh,admin.person.one,人,,"'admin.person.one':'人',",
zh,admin.person.other,人,,"'admin.person.other':'人',",
zh,admin.person.search,搜索人,,"'admin.person.search':'搜索人',",
zh,admin.person.status.active,活性,,"'admin.person.status.active':'活性',",
zh,admin.person.status.expired,過期,,"'admin.person.status.expired':'過期',",
zh,admin.person.status.inactive,非活動,,"'admin.person.status.inactive':'非活動',",
zh,admin.phone.add,添加電話號碼,,"'admin.phone.add':'添加電話號碼',",
zh,admin.phone.number,電話號碼,,"'admin.phone.number':'電話號碼',",
zh,admin.phone.numbers,電話號碼,,"'admin.phone.numbers':'電話號碼',",
zh,admin.phonenumbertype.mobile,細胞,,"'admin.phonenumbertype.mobile':'細胞',",
zh,admin.phonenumbertype.office,辦公室,,"'admin.phonenumbertype.office':'辦公室',",
zh,admin.role.guest,來賓,,"'admin.role.guest':'來賓',",
zh,admin.role.label.category,類別,,"'admin.role.label.category':'類別',",
zh,admin.role.label.general,一般,,"'admin.role.label.general':'一般',",
zh,admin.role.label.location_level,地點組織,,"'admin.role.label.location_level':'地點組織',",
zh,admin.role.label.name,角色名稱,,"'admin.role.label.name':'角色名稱',",
zh,admin.role.label.number_users,＃人民,,"'admin.role.label.number_users':'＃人民',",
zh,admin.role.label.role_type,角色類型,,"'admin.role.label.role_type':'角色類型',",
zh,admin.role.one,角色,,"'admin.role.one':'角色',",
zh,admin.role.other,角色,,"'admin.role.other':'角色',",
zh,admin.role.system_administrator,管理員,,"'admin.role.system_administrator':'管理員',",
zh,admin.setting.one,環境,,"'admin.setting.one':'環境',",
zh,admin.setting.other,設置,,"'admin.setting.other':'設置',",
zh,admin.template.one,模板,,"'admin.template.one':'模板',",
zh,admin.template.other,模板,,"'admin.template.other':'模板',",
zh,admin.title,管理員,,"'admin.title':'管理員',",
zh,admin.translation.label.helper,幫手,,"'admin.translation.label.helper':'幫手',",
zh,admin.translation.label.key,鍵,,"'admin.translation.label.key':'鍵',",
zh,admin.translation.label.translation,翻譯,,"'admin.translation.label.translation':'翻譯',",
zh,admin.translation.one,翻譯,,"'admin.translation.one':'翻譯',",
zh,admin.translation.other,翻譯,,"'admin.translation.other':'翻譯',",
zh,button.add,新增{{model}},,"'button.add':'新增{{model}}',",
zh,button.upload,添加附件,,"'button.upload':'添加附件',",
zh,crud.cancel.button,取消,,"'crud.cancel.button':'取消',",
zh,crud.create.button,創建,,"'crud.create.button':'創建',",
zh,crud.create.error,錯誤創建{{model}}。,,"'crud.create.error':'錯誤創建{{model}}。',",
zh,crud.create.success,{{model}}成功創建。,Person created successfully.,"'crud.create.success':'{{model}}成功創建。',",
zh,crud.delete.button,刪除,,"'crud.delete.button':'刪除',",
zh,crud.delete.confirm,要刪除{{model}} \'{{ record}} \'你確定嗎？,Are you sure you want to delete Work Order 150306-448?,"'crud.delete.confirm':'要刪除{{model}} \'{{ record}} \'你確定嗎？',",
zh,crud.delete.error,錯誤刪除{{model}}。,,"'crud.delete.error':'錯誤刪除{{model}}。',",
zh,crud.restore.button,恢復,,"'crud.restore.button':'恢復',",
zh,crud.restore.error,錯誤恢復{{model}},,"'crud.restore.error':'錯誤恢復{{model}}',",
zh,crud.restore.success,{{model}}成功恢復。,Work Order restored successfully.,"'crud.restore.success':'{{model}}成功恢復。',",
zh,crud.save.button,保存,,"'crud.save.button':'保存',",
zh,crud.save.error,錯誤保存{{model}}。,,"'crud.save.error':'錯誤保存{{model}}。',",
zh,crud.save.success,{{model}}保存成功。,,"'crud.save.success':'{{model}}保存成功。',",
zh,crud.titles.edit,編輯{{model}},Edit Role,"'crud.titles.edit':'編輯{{model}}',",
zh,crud.titles.new,新{{model}},New Role,"'crud.titles.new':'新{{model}}',",
zh,menu.home,家,,"'menu.home':'家',",
zh,modules.assets.titleShort,資產,,"'modules.assets.titleShort':'資產',",
zh,modules.invoices.titleShort,發票,,"'modules.invoices.titleShort':'發票',",
zh,modules.pms.titleShort,下午,,"'modules.pms.titleShort':'下午',",
zh,modules.projects.titleShort,工程,,"'modules.projects.titleShort':'工程',",
zh,modules.purchaseOrders.titleShort,訂單,,"'modules.purchaseOrders.titleShort':'訂單',",
zh,modules.rfqs.titleShort,詢價,,"'modules.rfqs.titleShort':'詢價',",
zh,modules.tasks.titleShort,任務,,"'modules.tasks.titleShort':'任務',",
zh,modules.tickets.titleShort,門票,,"'modules.tickets.titleShort':'門票',",
zh,modules.workOrders.titleShort,工作訂單,,"'modules.workOrders.titleShort':'工作訂單',",
zh,ticket.label.assignee,受讓人,,"'ticket.label.assignee':'受讓人',",
zh,ticket.label.cc,CC,,"'ticket.label.cc':'CC',",
zh,ticket.label.created,創建,,"'ticket.label.created':'創建',",
zh,ticket.label.location,位置,,"'ticket.label.location':'位置',",
zh,ticket.label.priority,優先,,"'ticket.label.priority':'優先',",
zh,ticket.label.request,請求,,"'ticket.label.request':'請求',",
zh,ticket.label.requester,請求者,,"'ticket.label.requester':'請求者',",
zh,ticket.label.status,狀態,,"'ticket.label.status':'狀態',",
zh,ticket.one,票,,"'ticket.one':'票',",
zh,ticket.other,門票,,"'ticket.other':'門票',",
zh,ticket.priority.emergency,急,,"'ticket.priority.emergency':'急',",
zh,ticket.priority.high,高,,"'ticket.priority.high':'高',",
zh,ticket.priority.low,低,,"'ticket.priority.low':'低',",
zh,ticket.priority.medium,中,,"'ticket.priority.medium':'中',",
zh,ticket.search,搜索門票,,"'ticket.search':'搜索門票',",
zh,ticket.status.complete,完成,,"'ticket.status.complete':'完成',",
zh,ticket.status.deferred,遞延,,"'ticket.status.deferred':'遞延',",
zh,ticket.status.denied,被拒絕,,"'ticket.status.denied':'被拒絕',",
zh,ticket.status.draft,草案,,"'ticket.status.draft':'草案',",
zh,ticket.status.in_progress,進行中,,"'ticket.status.in_progress':'進行中',",
zh,ticket.status.new,新,,"'ticket.status.new':'新',",
zh,ticket.status.problem_solved,問題解決了,,"'ticket.status.problem_solved':'問題解決了',",
zh,upload.progress,進展,,"'upload.progress':'進展',",
zh,validation.invalid,無效,,"'validation.invalid':'無效',",
zh,validation.valid,有效,,"'validation.valid':'有效',",
zh,welcome,您好,,"'welcome':'您好',",
