LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
fr,activity.ticket.attachment_remove.one,removed %s{{count}} file %s{{timestamp}} %s{{removed}},removed %s_count}} file %s_timestamp}} %s_removed}},removed %s_count_var_ file %s_timestamp_var_ %s_removed_var_,supprimé% fichier s_count_var_% s_timestamp_var_% s_removed_var_,supprimé% fichier s_count}}% s_timestamp}}% s_removed}},supprimé% fichier s{{count}}% s{{timestamp}}% s{{removed}},supprimé% fichier s{{count}}% s{{timestamp}}% s{{removed}},"'activity.ticket.attachment_remove.one':'supprimé% fichier s{{count}}% s{{timestamp}}% s{{removed}}',",
fr,activity.ticket.attachment_remove.other,removed %s{{count}} files %s{{timestamp}} %s{{removed}},removed %s_count}} files %s_timestamp}} %s_removed}},removed %s_count_var_ files %s_timestamp_var_ %s_removed_var_,retiré% fichiers s_count_var_% s_timestamp_var_% s_removed_var_,retiré% fichiers s_count}}% s_timestamp}}% s_removed}},retiré% fichiers s{{count}}% s{{timestamp}}% s{{removed}},retiré% fichiers s{{count}}% s{{timestamp}}% s{{removed}},"'activity.ticket.attachment_remove.other':'retiré% fichiers s{{count}}% s{{timestamp}}% s{{removed}}',",
fr,activity.ticket.categories,changed the category from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the category from %s_from}} %sto %s_to}} %s_timestamp}},changed the category from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,changé la catégorie de% s_from_var_% sto% s_to_var_% s_timestamp_var_,changé la catégorie de% s_from}}% sto% s_to}}% s_timestamp}},changé la catégorie de% s{{from}}% sto% s{{to}}% s{{timestamp}},changé la catégorie de% s{{from}}% sto% s{{to}}% s{{timestamp}},"'activity.ticket.categories':'changé la catégorie de% s{{from}}% sto% s{{to}}% s{{timestamp}}',",
fr,activity.ticket.cc_add,added %s{{added}} %sto CC %s{{timestamp}},added %s_added}} %sto CC %s_timestamp}},added %s_added_var_ %sto CC %s_timestamp_var_,ajoutée% s_added_var_% sto CC% s_timestamp_var_,ajoutée% s_added}}% sto CC% s_timestamp}},ajoutée% s{{added}}% sto CC% s{{timestamp}},ajoutée% s{{added}}% sto CC% s{{timestamp}},"'activity.ticket.cc_add':'ajoutée% s{{added}}% sto CC% s{{timestamp}}',",
fr,activity.ticket.cc_remove,removed %s{{removed}} %sfrom CC %s{{timestamp}},removed %s_removed}} %sfrom CC %s_timestamp}},removed %s_removed_var_ %sfrom CC %s_timestamp_var_,retiré% s_removed_var_% sfrom CC% s_timestamp_var_,retiré% s_removed}}% sfrom CC% s_timestamp}},retiré% s{{removed}}% sfrom CC% s{{timestamp}},retiré% s{{removed}}% sfrom CC% s{{timestamp}},"'activity.ticket.cc_remove':'retiré% s{{removed}}% sfrom CC% s{{timestamp}}',",
fr,activity.ticket.comment,commented %s{{timestamp}} %s{{comment}},commented %s_timestamp}} %s_comment}},commented %s_timestamp_var_ %s_comment_var_,a commenté% s_timestamp_var_% s_comment_var_,a commenté% s_timestamp}}% s_comment}},a commenté% s{{timestamp}}% s{{comment}},a commenté% s{{timestamp}}% s{{comment}},"'activity.ticket.comment':'a commenté% s{{timestamp}}% s{{comment}}',",
fr,activity.ticket.create,created this ticket %s{{timestamp}},created this ticket %s_timestamp}},created this ticket %s_timestamp_var_,créé ce billet% s_timestamp_var_,créé ce billet% s_timestamp}},créé ce billet% s{{timestamp}},créé ce billet% s{{timestamp}},"'activity.ticket.create':'créé ce billet% s{{timestamp}}',",
fr,activity.ticket.msg_sent,sent to %svia %s{{timestamp}},sent to %svia %s_timestamp}},sent to %svia %s_timestamp_var_,envoyé à% SVIA% s_timestamp_var_,envoyé à% SVIA% s_timestamp}},envoyé à% SVIA% s{{timestamp}},envoyé à% SVIA% s{{timestamp}},"'activity.ticket.msg_sent':'envoyé à% SVIA% s{{timestamp}}',",
fr,activity.ticket.to_from,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the _type}} from %s_from}} %sto %s_to}} %s_timestamp}},changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,changé le _type_var_ de% s_from_var_% sto% s_to_var_% s_timestamp_var_,changé le _type}} de% s_from}}% sto% s_to}}% s_timestamp}},changé le {{type}} de% s{{from}}% sto% s{{to}}% s{{timestamp}},changé le {{type}} de% s{{from}}% sto% s{{to}}% s{{timestamp}},"'activity.ticket.to_from':'changé le {{type}} de% s{{from}}% sto% s{{to}}% s{{timestamp}}',",
fr,admin.address_type.location,Location,Location,Location,Emplacement,Emplacement,Emplacement,Emplacement,"'admin.address_type.location':'Emplacement',",
fr,admin.address_type.office,Office,Office,Office,Bureau,Bureau,Bureau,Bureau,"'admin.address_type.office':'Bureau',",
fr,admin.address_type.shipping,Shipping,Shipping,Shipping,livraison,livraison,livraison,livraison,"'admin.address_type.shipping':'livraison',",
fr,admin.address_type.store,Store,Store,Store,le magasin,le magasin,le magasin,le magasin,"'admin.address_type.store':'le magasin',",
fr,admin.address.add,Add Address,Add Address,Add Address,Ajoutez l'adresse,Ajoutez l'adresse,Ajoutez l'adresse,Ajoutez l'adresse,"'admin.address.add':'Ajoutez l\'adresse',",
fr,admin.address.address,Street Address,Street Address,Street Address,Adresse de rue,Adresse de rue,Adresse de rue,Adresse de rue,"'admin.address.address':'Adresse de rue',",
fr,admin.address.city,City,City,City,Ville,Ville,Ville,Ville,"'admin.address.city':'Ville',",
fr,admin.address.country.one,Country,Country,Country,Pays,Pays,Pays,Pays,"'admin.address.country.one':'Pays',",
fr,admin.address.country.other,Countries,Countries,Countries,Des pays,Des pays,Des pays,Des pays,"'admin.address.country.other':'Des pays',",
fr,admin.address.country.select,Select a Country,Select a Country,Select a Country,Choisissez un pays,Choisissez un pays,Choisissez un pays,Choisissez un pays,"'admin.address.country.select':'Choisissez un pays',",
fr,admin.address.label,Type,Type,Type,Type,Type,Type,Type,"'admin.address.label':'Type',",
fr,admin.address.postal_code,Zip,Zip,Zip,Zip *: français,Zip *: français,Zip *: français,Zip *: français,"'admin.address.postal_code':'Zip *: français',",
fr,admin.address.state.one,State,State,State,Etat,Etat,Etat,Etat,"'admin.address.state.one':'Etat',",
fr,admin.address.state.other,States,States,States,États,États,États,États,"'admin.address.state.other':'États',",
fr,admin.address.state.select,Select a State,Select a State,Select a State,Sélectionner un état,Sélectionner un état,Sélectionner un état,Sélectionner un état,"'admin.address.state.select':'Sélectionner un état',",
fr,admin.addresstype.office,Office,Office,Office,Bureau,Bureau,Bureau,Bureau,"'admin.addresstype.office':'Bureau',",
fr,admin.addresstype.shipping,Shipping,Shipping,Shipping,livraison,livraison,livraison,livraison,"'admin.addresstype.shipping':'livraison',",
fr,admin.amount,Amount,Amount,Amount,Montant,Montant,Montant,Montant,"'admin.amount':'Montant',",
fr,admin.amount_and_default_value,Amount: {{value}},Amount: _value}},Amount: _value_var_,Montant: _value_var_,Montant: _value}},Montant: {{value}},Montant: {{value}},"'admin.amount_and_default_value':'Montant: {{value}}',",
fr,admin.approval.one,Approval,Approval,Approval,Approbation,Approbation,Approbation,Approbation,"'admin.approval.one':'Approbation',",
fr,admin.approval.other,Approvals,Approvals,Approvals,Agréments,Agréments,Agréments,Agréments,"'admin.approval.other':'Agréments',",
fr,admin.automation,Automations,Automations,Automations,Automations,Automations,Automations,Automations,"'admin.automation':'Automations',",
fr,admin.automation.action.add,Action,Action,Action,action,action,action,action,"'admin.automation.action.add':'action',",
fr,admin.automation.actions,Actions,Actions,Actions,actes,actes,actes,actes,"'admin.automation.actions':'actes',",
fr,admin.automation.assignee,Assignee,Assignee,Assignee,Cessionnaire,Cessionnaire,Cessionnaire,Cessionnaire,"'admin.automation.assignee':'Cessionnaire',",
fr,admin.automation.categories,Categories,Categories,Categories,Catégories,Catégories,Catégories,Catégories,"'admin.automation.categories':'Catégories',",
fr,admin.automation.countries,Countries,Countries,Countries,Des pays,Des pays,Des pays,Des pays,"'admin.automation.countries':'Des pays',",
fr,admin.automation.criteria,Criteria,Criteria,Criteria,Critères,Critères,Critères,Critères,"'admin.automation.criteria':'Critères',",
fr,admin.automation.description,Description,Description,Description,La description,La description,La description,La description,"'admin.automation.description':'La description',",
fr,admin.automation.detail,Automation,Automation,Automation,Automatisation,Automatisation,Automatisation,Automatisation,"'admin.automation.detail':'Automatisation',",
fr,admin.automation.events,Events,Events,Events,Événements,Événements,Événements,Événements,"'admin.automation.events':'Événements',",
fr,admin.automation.filters,Filters,Filters,Filters,Filtres,Filtres,Filtres,Filtres,"'admin.automation.filters':'Filtres',",
fr,admin.automation.filtersApplied.one,There is {{count}} filter applied,There is _count}} filter applied,There is _count_var_ filter applied,Il est filtre appliqué _count_var_,Il est filtre appliqué _count}},Il est filtre appliqué {{count}},Il est filtre appliqué {{count}},"'admin.automation.filtersApplied.one':'Il est filtre appliqué {{count}}',",
fr,admin.automation.filtersApplied.other,There are {{count}} filters applied,There are _count}} filters applied,There are _count_var_ filters applied,Il existe des filtres appliqués _count_var_,Il existe des filtres appliqués _count}},Il existe des filtres appliqués {{count}},Il existe des filtres appliqués {{count}},"'admin.automation.filtersApplied.other':'Il existe des filtres appliqués {{count}}',",
fr,admin.automation.locations,Locations,Locations,Locations,Emplacements,Emplacements,Emplacements,Emplacements,"'admin.automation.locations':'Emplacements',",
fr,admin.automation.new,New Automation,New Automation,New Automation,New automation,New automation,New automation,New automation,"'admin.automation.new':'New automation',",
fr,admin.automation.one,Automation,Automation,Automation,Automatisation,Automatisation,Automatisation,Automatisation,"'admin.automation.one':'Automatisation',",
fr,admin.automation.other,Automations,Automations,Automations,Automations,Automations,Automations,Automations,"'admin.automation.other':'Automations',",
fr,admin.automation.pf.add,Filter,Filter,Filter,Filtre,Filtre,Filtre,Filtre,"'admin.automation.pf.add':'Filtre',",
fr,admin.automation.placeholder.available_filter,Please select a filter,Please select a filter,Please select a filter,S'il vous plaît sélectionner un filtre,S'il vous plaît sélectionner un filtre,S'il vous plaît sélectionner un filtre,S'il vous plaît sélectionner un filtre,"'admin.automation.placeholder.available_filter':'S\'il vous plaît sélectionner un filtre',",
fr,admin.automation.priorities,Priorities,Priorities,Priorities,priorités,priorités,priorités,priorités,"'admin.automation.priorities':'priorités',",
fr,admin.automation.search,Search Automations,Search Automations,Search Automations,recherche Automations,recherche Automations,recherche Automations,recherche Automations,"'admin.automation.search':'recherche Automations',",
fr,admin.automation.section.details,Details,Details,Details,Détails,Détails,Détails,Détails,"'admin.automation.section.details':'Détails',",
fr,admin.automation.section.filters,Filters,Filters,Filters,Filtres,Filtres,Filtres,Filtres,"'admin.automation.section.filters':'Filtres',",
fr,admin.automation.selected_in,selected in:,selected in:,selected in:,sélectionné dans:,sélectionné dans:,sélectionné dans:,sélectionné dans:,"'admin.automation.selected_in':'sélectionné dans:',",
fr,admin.automation.states,States,States,States,États,États,États,États,"'admin.automation.states':'États',",
fr,admin.category.label.children,Sub Categories,Sub Categories,Sub Categories,sous-catégories,sous-catégories,sous-catégories,sous-catégories,"'admin.category.label.children':'sous-catégories',",
fr,admin.category.label.cost_amount,Cost Amount,Cost Amount,Cost Amount,Montant des coûts,Montant des coûts,Montant des coûts,Montant des coûts,"'admin.category.label.cost_amount':'Montant des coûts',",
fr,admin.category.label.cost_code,Cost Code,Cost Code,Cost Code,Code des coûts,Code des coûts,Code des coûts,Code des coûts,"'admin.category.label.cost_code':'Code des coûts',",
fr,admin.category.label.cost_currency,Cost Currency,Cost Currency,Cost Currency,Coût devise,Coût devise,Coût devise,Coût devise,"'admin.category.label.cost_currency':'Coût devise',",
fr,admin.category.label.description,Description,Description,Description,La description,La description,La description,La description,"'admin.category.label.description':'La description',",
fr,admin.category.label.general,General,General,General,Général,Général,Général,Général,"'admin.category.label.general':'Général',",
fr,admin.category.label.label,Label,Label,Label,Étiquette,Étiquette,Étiquette,Étiquette,"'admin.category.label.label':'Étiquette',",
fr,admin.category.label.name,Name,Name,Name,prénom,prénom,prénom,prénom,"'admin.category.label.name':'prénom',",
fr,admin.category.label.parent,Parent Category,Parent Category,Parent Category,Catégorie Parentale,Catégorie Parentale,Catégorie Parentale,Catégorie Parentale,"'admin.category.label.parent':'Catégorie Parentale',",
fr,admin.category.label.sc_category_name,SC Category Name,SC Category Name,SC Category Name,SC Nom de la catégorie,SC Nom de la catégorie,SC Nom de la catégorie,SC Nom de la catégorie,"'admin.category.label.sc_category_name':'SC Nom de la catégorie',",
fr,admin.category.label.subcategory_label,Sub Category Label,Sub Category Label,Sub Category Label,Sous catégorie Étiquette,Sous catégorie Étiquette,Sous catégorie Étiquette,Sous catégorie Étiquette,"'admin.category.label.subcategory_label':'Sous catégorie Étiquette',",
fr,admin.category.label.verbose_name,Verbose Name,Verbose Name,Verbose Name,Nom Verbose,Nom Verbose,Nom Verbose,Nom Verbose,"'admin.category.label.verbose_name':'Nom Verbose',",
fr,admin.category.labelCat.issue,Issue,Issue,Issue,Problème,Problème,Problème,Problème,"'admin.category.labelCat.issue':'Problème',",
fr,admin.category.labelCat.trade,Trade,Trade,Trade,Commerce,Commerce,Commerce,Commerce,"'admin.category.labelCat.trade':'Commerce',",
fr,admin.category.labelCat.type,Type,Type,Type,Type,Type,Type,Type,"'admin.category.labelCat.type':'Type',",
fr,admin.category.name.loss_prevention,Loss Prevention,Loss Prevention,Loss Prevention,La prévention des pertes,La prévention des pertes,La prévention des pertes,La prévention des pertes,"'admin.category.name.loss_prevention':'La prévention des pertes',",
fr,admin.category.name.maintenance,Maintenance,Maintenance,Maintenance,Entretien,Entretien,Entretien,Entretien,"'admin.category.name.maintenance':'Entretien',",
fr,admin.category.name.repair,Repair,Repair,Repair,réparation,réparation,réparation,réparation,"'admin.category.name.repair':'réparation',",
fr,admin.category.new,New Category,New Category,New Category,Nouvelle catégorie,Nouvelle catégorie,Nouvelle catégorie,Nouvelle catégorie,"'admin.category.new':'Nouvelle catégorie',",
fr,admin.category.one,Category,Category,Category,Catégorie,Catégorie,Catégorie,Catégorie,"'admin.category.one':'Catégorie',",
fr,admin.category.other,Categories,Categories,Categories,Catégories,Catégories,Catégories,Catégories,"'admin.category.other':'Catégories',",
fr,admin.category.search,Search Categories,Search Categories,Search Categories,Rechercher Catégories,Rechercher Catégories,Rechercher Catégories,Rechercher Catégories,"'admin.category.search':'Rechercher Catégories',",
fr,admin.category.section.cost,Cost Information,Cost Information,Cost Information,Information sur les coûts,Information sur les coûts,Information sur les coûts,Information sur les coûts,"'admin.category.section.cost':'Information sur les coûts',",
fr,admin.category.section.details,Details,Details,Details,Détails,Détails,Détails,Détails,"'admin.category.section.details':'Détails',",
fr,admin.category.section.other,Organization,Organization,Organization,Organisation,Organisation,Organisation,Organisation,"'admin.category.section.other':'Organisation',",
fr,admin.category.status.active,Active,Active,Active,actif,actif,actif,actif,"'admin.category.status.active':'actif',",
fr,admin.category.status.inactive,Inactive,Inactive,Inactive,Inactif,Inactif,Inactif,Inactif,"'admin.category.status.inactive':'Inactif',",
fr,admin.categoryType.one,Category Type,Category Type,Category Type,Catégorie type,Catégorie type,Catégorie type,Catégorie type,"'admin.categoryType.one':'Catégorie type',",
fr,admin.categoryType.other,Category Types,Category Types,Category Types,Catégorie Types,Catégorie Types,Catégorie Types,Catégorie Types,"'admin.categoryType.other':'Catégorie Types',",
fr,admin.company.one,Company,Company,Company,Compagnie,Compagnie,Compagnie,Compagnie,"'admin.company.one':'Compagnie',",
fr,admin.company.other,Companies,Companies,Companies,Entreprises,Entreprises,Entreprises,Entreprises,"'admin.company.other':'Entreprises',",
fr,admin.contractor-assignment,Preferred Providers,Preferred Providers,Preferred Providers,Fournisseurs préférés,Fournisseurs préférés,Fournisseurs préférés,Fournisseurs préférés,"'admin.contractor-assignment':'Fournisseurs préférés',",
fr,admin.contractor.one,Contractor,Contractor,Contractor,Entrepreneur,Entrepreneur,Entrepreneur,Entrepreneur,"'admin.contractor.one':'Entrepreneur',",
fr,admin.contractor.other,Contractors,Contractors,Contractors,Entrepreneurs,Entrepreneurs,Entrepreneurs,Entrepreneurs,"'admin.contractor.other':'Entrepreneurs',",
fr,admin.contractorautomation.one,Contractor automation,Contractor automation,Contractor automation,automatisation de l'entrepreneur,automatisation de l'entrepreneur,automatisation de l'entrepreneur,automatisation de l'entrepreneur,"'admin.contractorautomation.one':'automatisation de l\'entrepreneur',",
fr,admin.contractorautomation.other,Contractor automations,Contractor automations,Contractor automations,automatisations de l'entrepreneur,automatisations de l'entrepreneur,automatisations de l'entrepreneur,automatisations de l'entrepreneur,"'admin.contractorautomation.other':'automatisations de l\'entrepreneur',",
fr,admin.currency.eur,EUR,EUR,EUR,EUR,EUR,EUR,EUR,"'admin.currency.eur':'EUR',",
fr,admin.currency.jpy,JPY,JPY,JPY,JPY,JPY,JPY,JPY,"'admin.currency.jpy':'JPY',",
fr,admin.currency.usd,USD,USD,USD,USD,USD,USD,USD,"'admin.currency.usd':'USD',",
fr,admin.dt.requester,Requester,Requester,Requester,demandeur,demandeur,demandeur,demandeur,"'admin.dt.requester':'demandeur',",
fr,admin.dtd.detail,Detail,Detail,Detail,Détail,Détail,Détail,Détail,"'admin.dtd.detail':'Détail',",
fr,admin.dtd.empty-detail,Select a definition to get started,Select a definition to get started,Select a definition to get started,Sélectionnez une définition pour commencer,Sélectionnez une définition pour commencer,Sélectionnez une définition pour commencer,Sélectionnez une définition pour commencer,"'admin.dtd.empty-detail':'Sélectionnez une définition pour commencer',",
fr,admin.dtd.field.add,Add Field,Add Field,Add Field,Ajouter le champ,Ajouter le champ,Ajouter le champ,Ajouter le champ,"'admin.dtd.field.add':'Ajouter le champ',",
fr,admin.dtd.label.description,Description,Description,Description,La description,La description,La description,La description,"'admin.dtd.label.description':'La description',",
fr,admin.dtd.label.destination,Destination,Destination,Destination,Destination,Destination,Destination,Destination,"'admin.dtd.label.destination':'Destination',",
fr,admin.dtd.label.field_type,Field Type,Field Type,Field Type,Type de champ,Type de champ,Type de champ,Type de champ,"'admin.dtd.label.field_type':'Type de champ',",
fr,admin.dtd.label.field.asset_select,Asset select,Asset select,Asset select,Asset select,Asset select,Asset select,Asset select,"'admin.dtd.label.field.asset_select':'Asset select',",
fr,admin.dtd.label.field.check_in,Check in,Check in,Check in,Enregistrement,Enregistrement,Enregistrement,Enregistrement,"'admin.dtd.label.field.check_in':'Enregistrement',",
fr,admin.dtd.label.field.check_out,Check out,Check out,Check out,Check-out,Check-out,Check-out,Check-out,"'admin.dtd.label.field.check_out':'Check-out',",
fr,admin.dtd.label.field.checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,"'admin.dtd.label.field.checkbox':'Checkbox',",
fr,admin.dtd.label.field.file,File,File,File,Fichier,Fichier,Fichier,Fichier,"'admin.dtd.label.field.file':'Fichier',",
fr,admin.dtd.label.field.number,Number,Number,Number,Nombre,Nombre,Nombre,Nombre,"'admin.dtd.label.field.number':'Nombre',",
fr,admin.dtd.label.field.select,Select,Select,Select,Sélectionner,Sélectionner,Sélectionner,Sélectionner,"'admin.dtd.label.field.select':'Sélectionner',",
fr,admin.dtd.label.field.text,Text,Text,Text,Texte,Texte,Texte,Texte,"'admin.dtd.label.field.text':'Texte',",
fr,admin.dtd.label.field.textarea,Textarea,Textarea,Textarea,Textarea,Textarea,Textarea,Textarea,"'admin.dtd.label.field.textarea':'Textarea',",
fr,admin.dtd.label.field.with_options,With options,With options,With options,Avec des options,Avec des options,Avec des options,Avec des options,"'admin.dtd.label.field.with_options':'Avec des options',",
fr,admin.dtd.label.fields,Fields,Fields,Fields,Des champs,Des champs,Des champs,Des champs,"'admin.dtd.label.fields':'Des champs',",
fr,admin.dtd.label.files,Files,Files,Files,Des dossiers,Des dossiers,Des dossiers,Des dossiers,"'admin.dtd.label.files':'Des dossiers',",
fr,admin.dtd.label.key,Key,Key,Key,Clé,Clé,Clé,Clé,"'admin.dtd.label.key':'Clé',",
fr,admin.dtd.label.label,Label,Label,Label,Étiquette,Étiquette,Étiquette,Étiquette,"'admin.dtd.label.label':'Étiquette',",
fr,admin.dtd.label.link_type,Link Type,Link Type,Link Type,type de lien,type de lien,type de lien,type de lien,"'admin.dtd.label.link_type':'type de lien',",
fr,admin.dtd.label.link.action_button,Action Button,Action Button,Action Button,Bouton d'action,Bouton d'action,Bouton d'action,Bouton d'action,"'admin.dtd.label.link.action_button':'Bouton d\'action',",
fr,admin.dtd.label.link.is_header,Is Header,Is Header,Is Header,Est-tête,Est-tête,Est-tête,Est-tête,"'admin.dtd.label.link.is_header':'Est-tête',",
fr,admin.dtd.label.link.priority,Priority,Priority,Priority,Priorité,Priorité,Priorité,Priorité,"'admin.dtd.label.link.priority':'Priorité',",
fr,admin.dtd.label.link.request,Request,Request,Request,Demande,Demande,Demande,Demande,"'admin.dtd.label.link.request':'Demande',",
fr,admin.dtd.label.link.status,Status,Status,Status,Statut,Statut,Statut,Statut,"'admin.dtd.label.link.status':'Statut',",
fr,admin.dtd.label.link.text,Text,Text,Text,Texte,Texte,Texte,Texte,"'admin.dtd.label.link.text':'Texte',",
fr,admin.dtd.label.links,Links,Links,Links,Des liens,Des liens,Des liens,Des liens,"'admin.dtd.label.links':'Des liens',",
fr,admin.dtd.label.note,Note,Note,Note,Remarque,Remarque,Remarque,Remarque,"'admin.dtd.label.note':'Remarque',",
fr,admin.dtd.label.note_type,Note Type,Note Type,Note Type,Note type,Note type,Note type,Note type,"'admin.dtd.label.note_type':'Note type',",
fr,admin.dtd.label.option_text,Option Text,Option Text,Option Text,Option texte,Option texte,Option texte,Option texte,"'admin.dtd.label.option_text':'Option texte',",
fr,admin.dtd.label.options,Options,Options,Options,options de,options de,options de,options de,"'admin.dtd.label.options':'options de',",
fr,admin.dtd.label.prompt,Prompt,Prompt,Prompt,Rapide,Rapide,Rapide,Rapide,"'admin.dtd.label.prompt':'Rapide',",
fr,admin.dtd.label.required,Required,Required,Required,Champs obligatoires,Champs obligatoires,Champs obligatoires,Champs obligatoires,"'admin.dtd.label.required':'Champs obligatoires',",
fr,admin.dtd.link_type.buttons,Button,Button,Button,Bouton,Bouton,Bouton,Bouton,"'admin.dtd.link_type.buttons':'Bouton',",
fr,admin.dtd.link_type.links,List,List,List,liste,liste,liste,liste,"'admin.dtd.link_type.links':'liste',",
fr,admin.dtd.link.add,Add Link,Add Link,Add Link,Ajouter un lien,Ajouter un lien,Ajouter un lien,Ajouter un lien,"'admin.dtd.link.add':'Ajouter un lien',",
fr,admin.dtd.list,List,List,List,liste,liste,liste,liste,"'admin.dtd.list':'liste',",
fr,admin.dtd.new,New,New,New,Nouveau,Nouveau,Nouveau,Nouveau,"'admin.dtd.new':'Nouveau',",
fr,admin.dtd.note_type.danger,Danger,Danger,Danger,Danger,Danger,Danger,Danger,"'admin.dtd.note_type.danger':'Danger',",
fr,admin.dtd.note_type.info,Info,Info,Info,Info,Info,Info,Info,"'admin.dtd.note_type.info':'Info',",
fr,admin.dtd.note_type.success,Success,Success,Success,Succès,Succès,Succès,Succès,"'admin.dtd.note_type.success':'Succès',",
fr,admin.dtd.note_type.warning,Warning,Warning,Warning,Attention,Attention,Attention,Attention,"'admin.dtd.note_type.warning':'Attention',",
fr,admin.dtd.one,Decision Tree,Decision Tree,Decision Tree,Arbre de décision,Arbre de décision,Arbre de décision,Arbre de décision,"'admin.dtd.one':'Arbre de décision',",
fr,admin.dtd.option.add,Add Option,Add Option,Add Option,Ajouter une option,Ajouter une option,Ajouter une option,Ajouter une option,"'admin.dtd.option.add':'Ajouter une option',",
fr,admin.dtd.other,Decision Tree,Decision Tree,Decision Tree,Arbre de décision,Arbre de décision,Arbre de décision,Arbre de décision,"'admin.dtd.other':'Arbre de décision',",
fr,admin.dtd.preview,Preview,Preview,Preview,Aperçu,Aperçu,Aperçu,Aperçu,"'admin.dtd.preview':'Aperçu',",
fr,admin.dtd.search,Search Definitions,Search Definitions,Search Definitions,recherche Définitions,recherche Définitions,recherche Définitions,recherche Définitions,"'admin.dtd.search':'recherche Définitions',",
fr,admin.dtd.title.display,Display,Display,Display,Afficher,Afficher,Afficher,Afficher,"'admin.dtd.title.display':'Afficher',",
fr,admin.dtd.title.fields,Fields,Fields,Fields,Des champs,Des champs,Des champs,Des champs,"'admin.dtd.title.fields':'Des champs',",
fr,admin.dtd.title.navigation,Navigation,Navigation,Navigation,La navigation,La navigation,La navigation,La navigation,"'admin.dtd.title.navigation':'La navigation',",
fr,admin.email.add,Add Email,Add Email,Add Email,Ajouter Email,Ajouter Email,Ajouter Email,Ajouter Email,"'admin.email.add':'Ajouter Email',",
fr,admin.emailtype.location,Location,Location,Location,Emplacement,Emplacement,Emplacement,Emplacement,"'admin.emailtype.location':'Emplacement',",
fr,admin.emailtype.personal,Personal,Personal,Personal,Personnel,Personnel,Personnel,Personnel,"'admin.emailtype.personal':'Personnel',",
