LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
zh-cn,admin.category.label.cost_amount,Cost Amount,Cost Amount,Cost Amount,费用金额,费用金额,费用金额,费用金额,"'admin.category.label.cost_amount':'费用金额',",
zh-cn,admin.category.label.cost_code,Cost Code,Cost Code,Cost Code,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.label.cost_currency,Cost Currency,Cost Currency,Cost Currency,货币成本,货币成本,货币成本,货币成本,"'admin.category.label.cost_currency':'货币成本',",
zh-cn,admin.category.label.description,Description,Description,Description,描述,描述,描述,描述,"'admin.category.label.description':'描述',",
zh-cn,admin.category.label.general,General,General,General,一般,一般,一般,一般,"'admin.category.label.general':'一般',",
zh-cn,admin.category.label.label,Label,Label,Label,标签,标签,标签,标签,"'admin.category.label.label':'标签',",
zh-cn,admin.category.label.name,Name,Name,Name,名称,名称,名称,名称,"'admin.category.label.name':'名称',",
zh-cn,admin.category.label.parent,Parent Category,Parent Category,Parent Category,父类别,父类别,父类别,父类别,"'admin.category.label.parent':'父类别',",
zh-cn,admin.category.label.sc_category_name,SC Category Name,SC Category Name,SC Category Name,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.label.subcategory_label,Sub Category Label,Sub Category Label,Sub Category Label,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.labelCat.issue,Issue,Issue,Issue,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.labelCat.trade,Trade,Trade,Trade,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.labelCat.type,Type,Type,Type,类型,类型,类型,类型,"'admin.category.labelCat.type':'类型',",
zh-cn,admin.category.name.loss_prevention,Loss Prevention,Loss Prevention,Loss Prevention,防损,防损,防损,防损,"'admin.category.name.loss_prevention':'防损',",
zh-cn,admin.category.name.maintenance,Maintenance,Maintenance,Maintenance,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.name.repair,Repair,Repair,Repair,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.new,New Category,New Category,New Category,新类别,新类别,新类别,新类别,"'admin.category.new':'新类别',",
zh-cn,admin.category.one,Category,Category,Category,类别,类别,类别,类别,"'admin.category.one':'类别',",
zh-cn,admin.category.other,Categories,Categories,Categories,分类,分类,分类,分类,"'admin.category.other':'分类',",
zh-cn,admin.category.search,Search Categories,Search Categories,Search Categories,搜索分类,搜索分类,搜索分类,搜索分类,"'admin.category.search':'搜索分类',",
zh-cn,admin.category.section.cost,Cost Information,Cost Information,Cost Information,成本信息,成本信息,成本信息,成本信息,"'admin.category.section.cost':'成本信息',",
zh-cn,admin.category.section.details,Details,Details,Details,细节,细节,细节,细节,"'admin.category.section.details':'细节',",
zh-cn,admin.category.section.other,Organization,Organization,Organization,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.category.status.active,Active,Active,Active,活性,活性,活性,活性,"'admin.category.status.active':'活性',",
zh-cn,admin.category.status.inactive,Inactive,Inactive,Inactive,待用,待用,待用,待用,"'admin.category.status.inactive':'待用',",
zh-cn,admin.categoryType.one,Category Type,Category Type,Category Type,分类型,分类型,分类型,分类型,"'admin.categoryType.one':'分类型',",
zh-cn,admin.categoryType.other,Category Types,Category Types,Category Types,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.company.one,Company,Company,Company,公司,公司,公司,公司,"'admin.company.one':'公司',",
zh-cn,admin.company.other,Companies,Companies,Companies,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.contractor-assignment,Preferred Providers,Preferred Providers,Preferred Providers,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.contractor.one,Contractor,Contractor,Contractor,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.contractor.other,Contractors,Contractors,Contractors,承包商,承包商,承包商,承包商,"'admin.contractor.other':'承包商',",
zh-cn,admin.contractorautomation.one,Contractor automation,Contractor automation,Contractor automation,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.contractorautomation.other,Contractor automations,Contractor automations,Contractor automations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.currency.eur,EUR,EUR,EUR,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.currency.jpy,JPY,JPY,JPY,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.currency.usd,USD,USD,USD,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dt.requester,Requester,Requester,Requester,请求者,请求者,请求者,请求者,"'admin.dt.requester':'请求者',",
zh-cn,admin.dtd.detail,Detail,Detail,Detail,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.empty-detail,Select a definition to get started,Select a definition to get started,Select a definition to get started,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.field.add,Add Field,Add Field,Add Field,添加字段,添加字段,添加字段,添加字段,"'admin.dtd.field.add':'添加字段',",
zh-cn,admin.dtd.label.description,Description,Description,Description,描述,描述,描述,描述,"'admin.dtd.label.description':'描述',",
zh-cn,admin.dtd.label.destination,Destination,Destination,Destination,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.field_type,Field Type,Field Type,Field Type,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.field.asset_select,Asset select,Asset select,Asset select,资产选择,资产选择,资产选择,资产选择,"'admin.dtd.label.field.asset_select':'资产选择',",
zh-cn,admin.dtd.label.field.check_in,Check in,Check in,Check in,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.field.check_out,Check out,Check out,Check out,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.field.checkbox,Checkbox,Checkbox,Checkbox,复选框,复选框,复选框,复选框,"'admin.dtd.label.field.checkbox':'复选框',",
zh-cn,admin.dtd.label.field.file,File,File,File,文件,文件,文件,文件,"'admin.dtd.label.field.file':'文件',",
zh-cn,admin.dtd.label.field.number,Number,Number,Number,数,数,数,数,"'admin.dtd.label.field.number':'数',",
zh-cn,admin.dtd.label.field.select,Select,Select,Select,选择,选择,选择,选择,"'admin.dtd.label.field.select':'选择',",
zh-cn,admin.dtd.label.field.text,Text,Text,Text,文本,文本,文本,文本,"'admin.dtd.label.field.text':'文本',",
zh-cn,admin.dtd.label.field.textarea,Textarea,Textarea,Textarea,多行文本,多行文本,多行文本,多行文本,"'admin.dtd.label.field.textarea':'多行文本',",
zh-cn,admin.dtd.label.field.with_options,With options,With options,With options,随着选项,随着选项,随着选项,随着选项,"'admin.dtd.label.field.with_options':'随着选项',",
zh-cn,admin.dtd.label.fields,Fields,Fields,Fields,字段,字段,字段,字段,"'admin.dtd.label.fields':'字段',",
zh-cn,admin.dtd.label.files,Files,Files,Files,档,档,档,档,"'admin.dtd.label.files':'档',",
zh-cn,admin.dtd.label.key,Key,Key,Key,键,键,键,键,"'admin.dtd.label.key':'键',",
zh-cn,admin.dtd.label.label,Label,Label,Label,标签,标签,标签,标签,"'admin.dtd.label.label':'标签',",
zh-cn,admin.dtd.label.link_type,Link Type,Link Type,Link Type,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.link.action_button,Action Button,Action Button,Action Button,操作按钮,操作按钮,操作按钮,操作按钮,"'admin.dtd.label.link.action_button':'操作按钮',",
zh-cn,admin.dtd.label.link.is_header,Is Header,Is Header,Is Header,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.link.priority,Priority,Priority,Priority,优先,优先,优先,优先,"'admin.dtd.label.link.priority':'优先',",
zh-cn,admin.dtd.label.link.request,Request,Request,Request,请求,请求,请求,请求,"'admin.dtd.label.link.request':'请求',",
zh-cn,admin.dtd.label.link.status,Status,Status,Status,状态,状态,状态,状态,"'admin.dtd.label.link.status':'状态',",
zh-cn,admin.dtd.label.link.text,Text,Text,Text,文本,文本,文本,文本,"'admin.dtd.label.link.text':'文本',",
zh-cn,admin.dtd.label.links,Links,Links,Links,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.note,Note,Note,Note,注意,注意,注意,注意,"'admin.dtd.label.note':'注意',",
zh-cn,admin.dtd.label.note_type,Note Type,Note Type,Note Type,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.option_text,Option Text,Option Text,Option Text,选项文本,选项文本,选项文本,选项文本,"'admin.dtd.label.option_text':'选项文本',",
zh-cn,admin.dtd.label.options,Options,Options,Options,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.prompt,Prompt,Prompt,Prompt,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.label.required,Required,Required,Required,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.link_type.buttons,Button,Button,Button,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.link_type.links,List,List,List,名单,名单,名单,名单,"'admin.dtd.link_type.links':'名单',",
zh-cn,admin.dtd.link.add,Add Link,Add Link,Add Link,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.list,List,List,List,名单,名单,名单,名单,"'admin.dtd.list':'名单',",
zh-cn,admin.dtd.new,New,New,New,新,新,新,新,"'admin.dtd.new':'新',",
zh-cn,admin.dtd.note_type.danger,Danger,Danger,Danger,危险,危险,危险,危险,"'admin.dtd.note_type.danger':'危险',",
zh-cn,admin.dtd.note_type.info,Info,Info,Info,信息,信息,信息,信息,"'admin.dtd.note_type.info':'信息',",
zh-cn,admin.dtd.note_type.success,Success,Success,Success,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.note_type.warning,Warning,Warning,Warning,警告,警告,警告,警告,"'admin.dtd.note_type.warning':'警告',",
zh-cn,admin.dtd.one,Decision Tree,Decision Tree,Decision Tree,决策树,决策树,决策树,决策树,"'admin.dtd.one':'决策树',",
zh-cn,admin.dtd.option.add,Add Option,Add Option,Add Option,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.other,Decision Tree,Decision Tree,Decision Tree,决策树,决策树,决策树,决策树,"'admin.dtd.other':'决策树',",
zh-cn,admin.dtd.preview,Preview,Preview,Preview,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.search,Search Definitions,Search Definitions,Search Definitions,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.title.display,Display,Display,Display,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.dtd.title.fields,Fields,Fields,Fields,字段,字段,字段,字段,"'admin.dtd.title.fields':'字段',",
zh-cn,admin.dtd.title.navigation,Navigation,Navigation,Navigation,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.email.add,Add Email,Add Email,Add Email,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.emailtype.location,Location,Location,Location,位置,位置,位置,位置,"'admin.emailtype.location':'位置',",
zh-cn,admin.emailtype.personal,Personal,Personal,Personal,个人,个人,个人,个人,"'admin.emailtype.personal':'个人',",
zh-cn,admin.emailtype.sms,SMS,SMS,SMS,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.emailtype.work,Work,Work,Work,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.general.one,Tenant,Tenant,Tenant,承租人,承租人,承租人,承租人,"'admin.general.one':'承租人',",
zh-cn,admin.general.other,Tenants,Tenants,Tenants,租户,租户,租户,租户,"'admin.general.other':'租户',",
zh-cn,admin.invoice.draft,Draft,Draft,Draft,草案,草案,草案,草案,"'admin.invoice.draft':'草案',",
zh-cn,admin.invoice.new,New,New,New,新,新,新,新,"'admin.invoice.new':'新',",
zh-cn,admin.invoice.select_assign.all,All,All,All,所有,所有,所有,所有,"'admin.invoice.select_assign.all':'所有',",
zh-cn,admin.invoice.select_assign.managers,Managers,Managers,Managers,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locale.default,Default: Browser Settings,Default: Browser Settings,Default: Browser Settings,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locale.en,English,English,English,英语,英语,英语,英语,"'admin.locale.en':'英语',",
zh-cn,admin.locale.english,English,English,English,英语,英语,英语,英语,"'admin.locale.english':'英语',",
zh-cn,admin.locale.es,Spanish,Spanish,Spanish,西班牙语,西班牙语,西班牙语,西班牙语,"'admin.locale.es':'西班牙语',",
zh-cn,admin.locale.fr,French,French,French,法国,法国,法国,法国,"'admin.locale.fr':'法国',",
zh-cn,admin.locale.ja,Japanese,Japanese,Japanese,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locale.spanish,Spanish,Spanish,Spanish,西班牙语,西班牙语,西班牙语,西班牙语,"'admin.locale.spanish':'西班牙语',",
zh-cn,admin.locale.zh-cn,Chinese,Chinese,Chinese,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.location.label.address.one,Address,Address,Address,地址,地址,地址,地址,"'admin.location.label.address.one':'地址',",
zh-cn,admin.location.label.address.other,Addresses,Addresses,Addresses,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.location.label.children-name,Child Locations,Child Locations,Child Locations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.location.label.contact,Contact,Contact,Contact,联系,联系,联系,联系,"'admin.location.label.contact':'联系',",
zh-cn,admin.location.label.email.one,Email,Email,Email,电子邮件,电子邮件,电子邮件,电子邮件,"'admin.location.label.email.one':'电子邮件',",
zh-cn,admin.location.label.email.other,Email,Email,Email,电子邮件,电子邮件,电子邮件,电子邮件,"'admin.location.label.email.other':'电子邮件',",
zh-cn,admin.location.label.general,General,General,General,一般,一般,一般,一般,"'admin.location.label.general':'一般',",
zh-cn,admin.location.label.location_level,Location Level,Location Level,Location Level,地点一层,地点一层,地点一层,地点一层,"'admin.location.label.location_level':'地点一层',",
zh-cn,admin.location.label.name,Name,Name,Name,名称,名称,名称,名称,"'admin.location.label.name':'名称',",
zh-cn,admin.location.label.number,Number,Number,Number,数,数,数,数,"'admin.location.label.number':'数',",
zh-cn,admin.location.label.parents-name,Parent Locations,Parent Locations,Parent Locations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.location.label.phone_number.one,Phone Number,Phone Number,Phone Number,电话号码,电话号码,电话号码,电话号码,"'admin.location.label.phone_number.one':'电话号码',",
zh-cn,admin.location.label.phone_number.other,Phone Numbers,Phone Numbers,Phone Numbers,电话号码,电话号码,电话号码,电话号码,"'admin.location.label.phone_number.other':'电话号码',",
zh-cn,admin.location.label.status-name,Status,Status,Status,状态,状态,状态,状态,"'admin.location.label.status-name':'状态',",
zh-cn,admin.location.new,New Location,New Location,New Location,新位置,新位置,新位置,新位置,"'admin.location.new':'新位置',",
zh-cn,admin.location.one,Location,Location,Location,位置,位置,位置,位置,"'admin.location.one':'位置',",
zh-cn,admin.location.other,Locations,Locations,Locations,位置,位置,位置,位置,"'admin.location.other':'位置',",
zh-cn,admin.location.search,Search Locations,Search Locations,Search Locations,搜索位置,搜索位置,搜索位置,搜索位置,"'admin.location.search':'搜索位置',",
zh-cn,admin.location.section.contact,Contact,Contact,Contact,联系,联系,联系,联系,"'admin.location.section.contact':'联系',",
zh-cn,admin.location.section.details,Details,Details,Details,细节,细节,细节,细节,"'admin.location.section.details':'细节',",
zh-cn,admin.location.section.organization,Organizations,Organizations,Organizations,组织,组织,组织,组织,"'admin.location.section.organization':'组织',",
zh-cn,admin.location.status.closed,Closed,Closed,Closed,关闭,关闭,关闭,关闭,"'admin.location.status.closed':'关闭',",
zh-cn,admin.location.status.future,Future,Future,Future,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.location.status.open,Open,Open,Open,打开,打开,打开,打开,"'admin.location.status.open':'打开',",
zh-cn,admin.locationlevel.company,Company,Company,Company,公司,公司,公司,公司,"'admin.locationlevel.company':'公司',",
zh-cn,admin.locationlevel.department,Department,Department,Department,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.district,District,District,District,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.fmd,Facility Management District,Facility Management District,Facility Management District,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.locationlevel.fmu,Facility Management Region,Facility Management Region,Facility Management Region,设施管理区,设施管理区,设施管理区,设施管理区,"'admin.locationlevel.fmu':'设施管理区',",
zh-cn,admin.locationlevel.label.childOrg,Child Location Level(s),Child Location Level(s),Child Location Level(s),儿童地点一层（S）,儿童地点一层（S）,儿童地点一层（S）,儿童地点一层（S）,"'admin.locationlevel.label.childOrg':'儿童地点一层（S）',",
zh-cn,admin.locationlevel.label.general,General,General,General,一般,一般,一般,一般,"'admin.locationlevel.label.general':'一般',",
zh-cn,admin.locationlevel.label.name,Name,Name,Name,名称,名称,名称,名称,"'admin.locationlevel.label.name':'名称',",
zh-cn,admin.locationlevel.new,New Location Level,New Location Level,New Location Level,新地点一层,新地点一层,新地点一层,新地点一层,"'admin.locationlevel.new':'新地点一层',",
