LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
ja,activity.ticket.categories,changed the category from ${{from}} $to ${{to}} ${{timestamp}},changed the category from $_from}} $to $_to}} $_timestamp}},changed the category from $_from_var_ $to $_to_var_ $_timestamp_var_,$ _to_var_ $ _timestamp_var_に$ _from_var_ $からカテゴリを変更,$ _to}} $ _timestamp}}に$ _from}} $からカテゴリを変更,$ {{to}} $ {{timestamp}}に$ {{from}} $からカテゴリを変更,${{to}} ${{timestamp}}に${{from}} $からカテゴリを変更,"'activity.ticket.categories':'${{to}} ${{timestamp}}に${{from}} $からカテゴリを変更',",
ja,activity.ticket.cc_add,added ${{added}} $to CC ${{timestamp}},added $_added}} $to CC $_timestamp}},added $_added_var_ $to CC $_timestamp_var_,$ CCの$の_timestamp_var_に$ _added_var_を追加しました,$ CCの$の_timestamp}}に$ _added}}を追加しました,$ CCの$の{{timestamp}}に$ {{added}}を追加しました,$CCの$の{{timestamp}}に${{added}}を追加しました,"'activity.ticket.cc_add':'$CCの$の{{timestamp}}に${{added}}を追加しました',",
ja,activity.ticket.cc_remove,removed ${{removed}} $from CC ${{timestamp}},removed $_removed}} $from CC $_timestamp}},removed $_removed_var_ $from CC $_timestamp_var_,CCの$の_timestamp_var_から削除$ _removed_var_ $,CCの$の_timestamp}}から削除$ _removed}} $,CCの$の{{timestamp}}から削除$ {{removed}} $,CCの$の{{timestamp}}から削除${{removed}} $,"'activity.ticket.cc_remove':'CCの$の{{timestamp}}から削除${{removed}} $',",
ja,activity.ticket.comment,commented ${{timestamp}} ${{comment}},commented $_timestamp}} $_comment}},commented $_timestamp_var_ $_comment_var_,コメント$ _timestamp_var_ $ _comment_var_,コメント$ _timestamp}} $ _comment}},コメント$ {{timestamp}} $ {{comment}},コメント${{timestamp}} ${{comment}},"'activity.ticket.comment':'コメント${{timestamp}} ${{comment}}',",
ja,activity.ticket.create,created this ticket ${{timestamp}},created this ticket $_timestamp}},created this ticket $_timestamp_var_,このチケットの$ _timestamp_var_を作成,このチケットの$ _timestamp}}を作成,このチケットの$ {{timestamp}}を作成,このチケットの${{timestamp}}を作成,"'activity.ticket.create':'このチケットの${{timestamp}}を作成',",
ja,activity.ticket.to_from,changed the {{type}} from ${{from}} $to ${{to}} ${{timestamp}},changed the _type}} from $_from}} $to $_to}} $_timestamp}},changed the _type_var_ from $_from_var_ $to $_to_var_ $_timestamp_var_,$ _to_var_ $ _timestamp_var_に$ _from_var_ $から_type_var_を変更,$ _to}} $ _timestamp}}に$ _from}} $から_type}}を変更,$ {{to}} $ {{timestamp}}に$ {{from}} $から{{type}}を変更,${{to}} ${{timestamp}}に${{from}} $から{{type}}を変更,"'activity.ticket.to_from':'${{to}} ${{timestamp}}に${{from}} $から{{type}}を変更',",
ja,admin.address_type.office,Office,Office,Office,オフィス,オフィス,オフィス,オフィス,"'admin.address_type.office':'オフィス',",
ja,admin.address_type.shipping,Shipping,Shipping,Shipping,運送,運送,運送,運送,"'admin.address_type.shipping':'運送',",
ja,admin.address.add,Add Address,Add Address,Add Address,アドレスの追加,アドレスの追加,アドレスの追加,アドレスの追加,"'admin.address.add':'アドレスの追加',",
ja,admin.address.address,Street Address,Street Address,Street Address,住所,住所,住所,住所,"'admin.address.address':'住所',",
ja,admin.address.city,City,City,City,シティ,シティ,シティ,シティ,"'admin.address.city':'シティ',",
ja,admin.address.country.one,Country,Country,Country,国,国,国,国,"'admin.address.country.one':'国',",
ja,admin.address.country.other,Countries,Countries,Countries,国,国,国,国,"'admin.address.country.other':'国',",
ja,admin.address.country.select,Select a Country,Select a Country,Select a Country,国を選択,国を選択,国を選択,国を選択,"'admin.address.country.select':'国を選択',",
ja,admin.address.label,Type,Type,Type,タイプ,タイプ,タイプ,タイプ,"'admin.address.label':'タイプ',",
ja,admin.address.postal_code,Zip,Zip,Zip,ジップ,ジップ,ジップ,ジップ,"'admin.address.postal_code':'ジップ',",
ja,admin.address.state.one,State,State,State,状態,状態,状態,状態,"'admin.address.state.one':'状態',",
ja,admin.address.state.other,States,States,States,米国,米国,米国,米国,"'admin.address.state.other':'米国',",
ja,admin.address.state.select,Select a State,Select a State,Select a State,州を選択,州を選択,州を選択,州を選択,"'admin.address.state.select':'州を選択',",
ja,admin.addresstype.office,Office,Office,Office,オフィス,オフィス,オフィス,オフィス,"'admin.addresstype.office':'オフィス',",
ja,admin.addresstype.shipping,Shipping,Shipping,Shipping,運送,運送,運送,運送,"'admin.addresstype.shipping':'運送',",
ja,admin.amount,Amount,Amount,Amount,量,量,量,量,"'admin.amount':'量',",
ja,admin.approval.one,Approval,Approval,Approval,承認,承認,承認,承認,"'admin.approval.one':'承認',",
ja,admin.approval.other,Approvals,Approvals,Approvals,承認,承認,承認,承認,"'admin.approval.other':'承認',",
ja,admin.assignment.one,Assignment Profile,Assignment Profile,Assignment Profile,割り当てプロフィール,割り当てプロフィール,割り当てプロフィール,割り当てプロフィール,"'admin.assignment.one':'割り当てプロフィール',",
ja,admin.assignment.other,Assignment Profiles,Assignment Profiles,Assignment Profiles,割り当てプロファイル,割り当てプロファイル,割り当てプロファイル,割り当てプロファイル,"'admin.assignment.other':'割り当てプロファイル',",
ja,admin.category.label.children,Sub Categories,Sub Categories,Sub Categories,サブカテゴリー,サブカテゴリー,サブカテゴリー,サブカテゴリー,"'admin.category.label.children':'サブカテゴリー',",
ja,admin.category.label.cost_amount,Cost Amount,Cost Amount,Cost Amount,コスト額,コスト額,コスト額,コスト額,"'admin.category.label.cost_amount':'コスト額',",
ja,admin.category.label.cost_code,Cost Code,Cost Code,Cost Code,コストコード,コストコード,コストコード,コストコード,"'admin.category.label.cost_code':'コストコード',",
ja,admin.category.label.cost_currency,Cost Currency,Cost Currency,Cost Currency,コスト通貨,コスト通貨,コスト通貨,コスト通貨,"'admin.category.label.cost_currency':'コスト通貨',",
ja,admin.category.label.description,Description,Description,Description,説明,説明,説明,説明,"'admin.category.label.description':'説明',",
ja,admin.category.label.general,General,General,General,一般,一般,一般,一般,"'admin.category.label.general':'一般',",
ja,admin.category.label.label,Label,Label,Label,ラベル,ラベル,ラベル,ラベル,"'admin.category.label.label':'ラベル',",
ja,admin.category.label.name,Name,Name,Name,名,名,名,名,"'admin.category.label.name':'名',",
ja,admin.category.label.subcategory_label,Sub Category Label,Sub Category Label,Sub Category Label,サブカテゴリーラベル,サブカテゴリーラベル,サブカテゴリーラベル,サブカテゴリーラベル,"'admin.category.label.subcategory_label':'サブカテゴリーラベル',",
ja,admin.category.labelCat.issue,Issue,Issue,Issue,問題,問題,問題,問題,"'admin.category.labelCat.issue':'問題',",
ja,admin.category.labelCat.trade,Trade,Trade,Trade,トレード,トレード,トレード,トレード,"'admin.category.labelCat.trade':'トレード',",
ja,admin.category.labelCat.type,Type,Type,Type,タイプ,タイプ,タイプ,タイプ,"'admin.category.labelCat.type':'タイプ',",
ja,admin.category.name.loss_prevention,Loss Prevention,Loss Prevention,Loss Prevention,損失防止,損失防止,損失防止,損失防止,"'admin.category.name.loss_prevention':'損失防止',",
ja,admin.category.name.maintenance,Maintenance,Maintenance,Maintenance,メンテナンス,メンテナンス,メンテナンス,メンテナンス,"'admin.category.name.maintenance':'メンテナンス',",
ja,admin.category.name.repair,Repair,Repair,Repair,修復,修復,修復,修復,"'admin.category.name.repair':'修復',",
ja,admin.category.new,New Category,New Category,New Category,新しいカテゴリ,新しいカテゴリ,新しいカテゴリ,新しいカテゴリ,"'admin.category.new':'新しいカテゴリ',",
ja,admin.category.one,Category,Category,Category,カテゴリ,カテゴリ,カテゴリ,カテゴリ,"'admin.category.one':'カテゴリ',",
ja,admin.category.other,Categories,Categories,Categories,カテゴリー,カテゴリー,カテゴリー,カテゴリー,"'admin.category.other':'カテゴリー',",
ja,admin.category.search,Search Categories,Search Categories,Search Categories,検索カテゴリー,検索カテゴリー,検索カテゴリー,検索カテゴリー,"'admin.category.search':'検索カテゴリー',",
ja,admin.category.status.active,Active,Active,Active,アクティブ,アクティブ,アクティブ,アクティブ,"'admin.category.status.active':'アクティブ',",
ja,admin.categoryType.one,Category Type,Category Type,Category Type,カテゴリタイプ,カテゴリタイプ,カテゴリタイプ,カテゴリタイプ,"'admin.categoryType.one':'カテゴリタイプ',",
ja,admin.categoryType.other,Category Types,Category Types,Category Types,カテゴリ型,カテゴリ型,カテゴリ型,カテゴリ型,"'admin.categoryType.other':'カテゴリ型',",
ja,admin.company.one,Company,Company,Company,会社,会社,会社,会社,"'admin.company.one':'会社',",
ja,admin.company.other,Companies,Companies,Companies,企業,企業,企業,企業,"'admin.company.other':'企業',",
ja,admin.contractor.one,Contractor,Contractor,Contractor,請負業者,請負業者,請負業者,請負業者,"'admin.contractor.one':'請負業者',",
ja,admin.contractor.other,Contractors,Contractors,Contractors,請負業者,請負業者,請負業者,請負業者,"'admin.contractor.other':'請負業者',",
ja,admin.contractorAssignment.one,Contractor Assignment,Contractor Assignment,Contractor Assignment,請負業者の割り当て,請負業者の割り当て,請負業者の割り当て,請負業者の割り当て,"'admin.contractorAssignment.one':'請負業者の割り当て',",
ja,admin.contractorAssignment.other,Contractor Assignments,Contractor Assignments,Contractor Assignments,請負業者の割り当て,請負業者の割り当て,請負業者の割り当て,請負業者の割り当て,"'admin.contractorAssignment.other':'請負業者の割り当て',",
ja,admin.email.add,Add Email,Add Email,Add Email,メールを追加します。,メールを追加します。,メールを追加します。,メールを追加します。,"'admin.email.add':'メールを追加します。',",
ja,admin.emailtype.personal,Personal,Personal,Personal,パーソナル,パーソナル,パーソナル,パーソナル,"'admin.emailtype.personal':'パーソナル',",
ja,admin.emailtype.work,Work,Work,Work,作業,作業,作業,作業,"'admin.emailtype.work':'作業',",
ja,admin.general.one,General Setting,General Setting,General Setting,一般的な設定,一般的な設定,一般的な設定,一般的な設定,"'admin.general.one':'一般的な設定',",
ja,admin.general.other,General Settings,General Settings,General Settings,一般設定,一般設定,一般設定,一般設定,"'admin.general.other':'一般設定',",
ja,admin.location.label.address.one,Address,Address,Address,住所,住所,住所,住所,"'admin.location.label.address.one':'住所',",
ja,admin.location.label.address.other,Addresses,Addresses,Addresses,アドレス,アドレス,アドレス,アドレス,"'admin.location.label.address.other':'アドレス',",
ja,admin.location.label.email.one,Email,Email,Email,Eメール,Eメール,Eメール,Eメール,"'admin.location.label.email.one':'Eメール',",
ja,admin.location.label.email.other,Email,Email,Email,Eメール,Eメール,Eメール,Eメール,"'admin.location.label.email.other':'Eメール',",
ja,admin.location.label.general,General,General,General,一般,一般,一般,一般,"'admin.location.label.general':'一般',",
ja,admin.location.label.location_level,Organization,Organization,Organization,組織,組織,組織,組織,"'admin.location.label.location_level':'組織',",
ja,admin.location.label.name,Name,Name,Name,名,名,名,名,"'admin.location.label.name':'名',",
ja,admin.location.label.number,Number,Number,Number,数,数,数,数,"'admin.location.label.number':'数',",
ja,admin.location.label.phone_number.one,Phone Number,Phone Number,Phone Number,電話番号,電話番号,電話番号,電話番号,"'admin.location.label.phone_number.one':'電話番号',",
ja,admin.location.label.phone_number.other,Phone Numbers,Phone Numbers,Phone Numbers,電話番号,電話番号,電話番号,電話番号,"'admin.location.label.phone_number.other':'電話番号',",
ja,admin.location.label.status-name,Status,Status,Status,状態,状態,状態,状態,"'admin.location.label.status-name':'状態',",
ja,admin.location.one,Location,Location,Location,ロケーション,ロケーション,ロケーション,ロケーション,"'admin.location.one':'ロケーション',",
ja,admin.location.other,Locations,Locations,Locations,場所,場所,場所,場所,"'admin.location.other':'場所',",
ja,admin.location.search,Search Locations,Search Locations,Search Locations,検索場所,検索場所,検索場所,検索場所,"'admin.location.search':'検索場所',",
ja,admin.location.status.closed,Closed,Closed,Closed,クローズ,クローズ,クローズ,クローズ,"'admin.location.status.closed':'クローズ',",
ja,admin.location.status.future,Future,Future,Future,将来,将来,将来,将来,"'admin.location.status.future':'将来',",
ja,admin.location.status.open,Open,Open,Open,オープン,オープン,オープン,オープン,"'admin.location.status.open':'オープン',",
ja,admin.locationlevel.company,Company,Company,Company,会社,会社,会社,会社,"'admin.locationlevel.company':'会社',",
ja,admin.locationlevel.department,Department,Department,Department,部門,部門,部門,部門,"'admin.locationlevel.department':'部門',",
ja,admin.locationlevel.district,District,District,District,地区,地区,地区,地区,"'admin.locationlevel.district':'地区',",
ja,admin.locationlevel.fmd,Facility Management District,Facility Management District,Facility Management District,施設管理区,施設管理区,施設管理区,施設管理区,"'admin.locationlevel.fmd':'施設管理区',",
ja,admin.locationlevel.fmu,Facility Management Region,Facility Management Region,Facility Management Region,ファシリティマネジメントリージョン,ファシリティマネジメントリージョン,ファシリティマネジメントリージョン,ファシリティマネジメントリージョン,"'admin.locationlevel.fmu':'ファシリティマネジメントリージョン',",
ja,admin.locationlevel.label.childOrg,Child Organization(s),Child Organization(s),Child Organization(s),子機構（複数可）,子機構（複数可）,子機構（複数可）,子機構（複数可）,"'admin.locationlevel.label.childOrg':'子機構（複数可）',",
ja,admin.locationlevel.label.general,General,General,General,一般,一般,一般,一般,"'admin.locationlevel.label.general':'一般',",
ja,admin.locationlevel.label.name,Name,Name,Name,名,名,名,名,"'admin.locationlevel.label.name':'名',",
ja,admin.locationlevel.new,New Location Level,New Location Level,New Location Level,新しい場所レベル,新しい場所レベル,新しい場所レベル,新しい場所レベル,"'admin.locationlevel.new':'新しい場所レベル',",
ja,admin.locationlevel.one,Location Level,Location Level,Location Level,場所レベル,場所レベル,場所レベル,場所レベル,"'admin.locationlevel.one':'場所レベル',",
ja,admin.locationlevel.other,Location Levels,Location Levels,Location Levels,場所レベル,場所レベル,場所レベル,場所レベル,"'admin.locationlevel.other':'場所レベル',",
ja,admin.locationlevel.region,Region,Region,Region,領域,領域,領域,領域,"'admin.locationlevel.region':'領域',",
ja,admin.locationlevel.search,Search Location Levels,Search Location Levels,Search Location Levels,検索場所レベル,検索場所レベル,検索場所レベル,検索場所レベル,"'admin.locationlevel.search':'検索場所レベル',",
ja,admin.locationlevel.store,Store,Store,Store,格納,格納,格納,格納,"'admin.locationlevel.store':'格納',",
ja,admin.notification.one,Notification Profile,Notification Profile,Notification Profile,通知プロファイル,通知プロファイル,通知プロファイル,通知プロファイル,"'admin.notification.one':'通知プロファイル',",
ja,admin.notification.other,Notification Profiles,Notification Profiles,Notification Profiles,通知プロファイル,通知プロファイル,通知プロファイル,通知プロファイル,"'admin.notification.other':'通知プロファイル',",
ja,admin.person.label.address,Address,Address,Address,住所,住所,住所,住所,"'admin.person.label.address':'住所',",
ja,admin.person.label.auth_amount,Auth. Amount,Auth. Amount,Auth. Amount,認証。量,認証。量,認証。量,認証。量,"'admin.person.label.auth_amount':'認証。量',",
ja,admin.person.label.change_password,Change,Change,Change,変化する,変化する,変化する,変化する,"'admin.person.label.change_password':'変化する',",
ja,admin.person.label.contact,Contact,Contact,Contact,接触,接触,接触,接触,"'admin.person.label.contact':'接触',",
ja,admin.person.label.credentials,Credentials,Credentials,Credentials,クレデンシャル,クレデンシャル,クレデンシャル,クレデンシャル,"'admin.person.label.credentials':'クレデンシャル',",
ja,admin.person.label.email,Email,Email,Email,Eメール,Eメール,Eメール,Eメール,"'admin.person.label.email':'Eメール',",
ja,admin.person.label.employee_id,Employee No.,Employee No.,Employee No.,従業員番号,従業員番号,従業員番号,従業員番号,"'admin.person.label.employee_id':'従業員番号',",
ja,admin.person.label.first_name,First Name,First Name,First Name,ファーストネーム,ファーストネーム,ファーストネーム,ファーストネーム,"'admin.person.label.first_name':'ファーストネーム',",
ja,admin.person.label.fullname,Name,Name,Name,名,名,名,名,"'admin.person.label.fullname':'名',",
ja,admin.person.label.general,General,General,General,一般,一般,一般,一般,"'admin.person.label.general':'一般',",
ja,admin.person.label.language,Language,Language,Language,言語,言語,言語,言語,"'admin.person.label.language':'言語',",
ja,admin.person.label.last_name,Last Name,Last Name,Last Name,苗字,苗字,苗字,苗字,"'admin.person.label.last_name':'苗字',",
ja,admin.person.label.location,Location,Location,Location,ロケーション,ロケーション,ロケーション,ロケーション,"'admin.person.label.location':'ロケーション',",
ja,admin.person.label.middle_initial,Middle,Middle,Middle,中間,中間,中間,中間,"'admin.person.label.middle_initial':'中間',",
ja,admin.person.label.password,Password,Password,Password,パスワード,パスワード,パスワード,パスワード,"'admin.person.label.password':'パスワード',",
ja,admin.person.label.phone_number.one,Phone Number,Phone Number,Phone Number,電話番号,電話番号,電話番号,電話番号,"'admin.person.label.phone_number.one':'電話番号',",
ja,admin.person.label.phone_number.other,Phone Numbers,Phone Numbers,Phone Numbers,電話番号,電話番号,電話番号,電話番号,"'admin.person.label.phone_number.other':'電話番号',",
ja,admin.person.label.role-name,Role,Role,Role,役割,役割,役割,役割,"'admin.person.label.role-name':'役割',",
ja,admin.person.label.status,Status,Status,Status,状態,状態,状態,状態,"'admin.person.label.status':'状態',",
ja,admin.person.label.title,Title,Title,Title,タイトル,タイトル,タイトル,タイトル,"'admin.person.label.title':'タイトル',",
ja,admin.person.label.username,Username,Username,Username,ユーザー名,ユーザー名,ユーザー名,ユーザー名,"'admin.person.label.username':'ユーザー名',",
ja,admin.person.one,Person,Person,Person,人,人,人,人,"'admin.person.one':'人',",
ja,admin.person.other,People,People,People,人,人,人,人,"'admin.person.other':'人',",
ja,admin.person.search,Search People,Search People,Search People,検索人,検索人,検索人,検索人,"'admin.person.search':'検索人',",
ja,admin.person.status.active,Active,Active,Active,アクティブ,アクティブ,アクティブ,アクティブ,"'admin.person.status.active':'アクティブ',",
ja,admin.person.status.expired,Expired,Expired,Expired,期限切れ,期限切れ,期限切れ,期限切れ,"'admin.person.status.expired':'期限切れ',",
ja,admin.person.status.inactive,Inactive,Inactive,Inactive,非アクティブ,非アクティブ,非アクティブ,非アクティブ,"'admin.person.status.inactive':'非アクティブ',",
ja,admin.phone.add,Add Phone Number,Add Phone Number,Add Phone Number,電話番号を追加します。,電話番号を追加します。,電話番号を追加します。,電話番号を追加します。,"'admin.phone.add':'電話番号を追加します。',",
ja,admin.phone.number,Phone Number,Phone Number,Phone Number,電話番号,電話番号,電話番号,電話番号,"'admin.phone.number':'電話番号',",
ja,admin.phone.numbers,Phone Numbers,Phone Numbers,Phone Numbers,電話番号,電話番号,電話番号,電話番号,"'admin.phone.numbers':'電話番号',",
ja,admin.phonenumbertype.mobile,Cell,Cell,Cell,細胞,細胞,細胞,細胞,"'admin.phonenumbertype.mobile':'細胞',",
ja,admin.phonenumbertype.office,Office,Office,Office,オフィス,オフィス,オフィス,オフィス,"'admin.phonenumbertype.office':'オフィス',",
ja,admin.role.contractor,Contractor,Contractor,Contractor,請負業者,請負業者,請負業者,請負業者,"'admin.role.contractor':'請負業者',",
ja,admin.role.coordinator,Coordinator,Coordinator,Coordinator,コー​​ディネーター,コー​​ディネーター,コー​​ディネーター,コー​​ディネーター,"'admin.role.coordinator':'コー​​ディネーター',",
ja,admin.role.district_manager,District Manager,District Manager,District Manager,地区マネージャー,地区マネージャー,地区マネージャー,地区マネージャー,"'admin.role.district_manager':'地区マネージャー',",
ja,admin.role.guest,Guest,Guest,Guest,ゲスト,ゲスト,ゲスト,ゲスト,"'admin.role.guest':'ゲスト',",
ja,admin.role.label.category,Category,Category,Category,カテゴリ,カテゴリ,カテゴリ,カテゴリ,"'admin.role.label.category':'カテゴリ',",
ja,admin.role.label.general,General,General,General,一般,一般,一般,一般,"'admin.role.label.general':'一般',",
ja,admin.role.label.location_level,Location Organization,Location Organization,Location Organization,場所組織,場所組織,場所組織,場所組織,"'admin.role.label.location_level':'場所組織',",
ja,admin.role.label.name,Role Name,Role Name,Role Name,役割名称,役割名称,役割名称,役割名称,"'admin.role.label.name':'役割名称',",
ja,admin.role.label.number_users,# of People,# of People,# of People,＃ 人の,＃ 人の,＃ 人の,＃ 人の,"'admin.role.label.number_users':'＃ 人の',",
ja,admin.role.label.role_type,Role Type,Role Type,Role Type,役割型,役割型,役割型,役割型,"'admin.role.label.role_type':'役割型',",
ja,admin.role.one,Role,Role,Role,役割,役割,役割,役割,"'admin.role.one':'役割',",
ja,admin.role.other,Roles,Roles,Roles,役割,役割,役割,役割,"'admin.role.other':'役割',",
ja,admin.role.regional_manager,Reginal Manager,Reginal Manager,Reginal Manager,女王のマネージャー,女王のマネージャー,女王のマネージャー,女王のマネージャー,"'admin.role.regional_manager':'女王のマネージャー',",
ja,admin.role.search,Search Role,Search Role,Search Role,検索の役割,検索の役割,検索の役割,検索の役割,"'admin.role.search':'検索の役割',",
ja,admin.role.store_manager,Store Manager,Store Manager,Store Manager,店長,店長,店長,店長,"'admin.role.store_manager':'店長',",
ja,admin.role.system_administrator,Administrator,Administrator,Administrator,管理者,管理者,管理者,管理者,"'admin.role.system_administrator':'管理者',",
ja,admin.setting.one,Setting,Setting,Setting,設定,設定,設定,設定,"'admin.setting.one':'設定',",
ja,admin.setting.other,Settings,Settings,Settings,[設定],[設定],[設定],[設定],"'admin.setting.other':'[設定]',",
ja,admin.template.one,Template,Template,Template,テンプレート,テンプレート,テンプレート,テンプレート,"'admin.template.one':'テンプレート',",
ja,admin.template.other,Templates,Templates,Templates,テンプレート,テンプレート,テンプレート,テンプレート,"'admin.template.other':'テンプレート',",
ja,admin.third_party.label.name,Name,Name,Name,名,名,名,名,"'admin.third_party.label.name':'名',",
ja,admin.third_party.label.number,Number,Number,Number,数,数,数,数,"'admin.third_party.label.number':'数',",
ja,admin.title,Admin,Admin,Admin,管理者,管理者,管理者,管理者,"'admin.title':'管理者',",
ja,admin.translation.label.helper,Helper,Helper,Helper,ヘルパー,ヘルパー,ヘルパー,ヘルパー,"'admin.translation.label.helper':'ヘルパー',",
ja,admin.translation.label.key,Key,Key,Key,キー,キー,キー,キー,"'admin.translation.label.key':'キー',",
ja,admin.translation.label.translation,Translation,Translation,Translation,翻訳,翻訳,翻訳,翻訳,"'admin.translation.label.translation':'翻訳',",
ja,admin.translation.one,Translation,Translation,Translation,翻訳,翻訳,翻訳,翻訳,"'admin.translation.one':'翻訳',",
ja,admin.translation.other,Translations,Translations,Translations,翻訳,翻訳,翻訳,翻訳,"'admin.translation.other':'翻訳',",
ja,admin.translation.search,Search Translations,Search Translations,Search Translations,検索翻訳,検索翻訳,検索翻訳,検索翻訳,"'admin.translation.search':'検索翻訳',",
ja,button.add,Add new {{model}},Add new _model}},Add new _model_var_,新しい_model_var_を追加,新しい_model}}を追加,新しい{{model}}を追加,新しい{{model}}を追加,"'button.add':'新しい{{model}}を追加',",
ja,button.upload,Attach file,Attach file,Attach file,ファイルを添付する,ファイルを添付する,ファイルを添付する,ファイルを添付する,"'button.upload':'ファイルを添付する',",
ja,crud.cancel.button,Cancel,Cancel,Cancel,キャンセル,キャンセル,キャンセル,キャンセル,"'crud.cancel.button':'キャンセル',",
ja,crud.create.button,Create,Create,Create,作り出します,作り出します,作り出します,作り出します,"'crud.create.button':'作り出します',",
ja,crud.create.error,Error creating {{model}}.,Error creating _model}}.,Error creating _model_var_.,_model_var_の作成エラーが発生しました。,_model}}の作成エラーが発生しました。,{{model}}の作成エラーが発生しました。,{{model}}の作成エラーが発生しました。,"'crud.create.error':'{{model}}の作成エラーが発生しました。',",
ja,crud.create.success,{{model}} created successfully.,_model}} created successfully.,_model_var_ created successfully.,_model_var_正常に作成されました。,_model}}正常に作成されました。,{{model}}正常に作成されました。,{{model}}正常に作成されました。,"'crud.create.success':'{{model}}正常に作成されました。',",
ja,crud.delete.button,Delete,Delete,Delete,削除,削除,削除,削除,"'crud.delete.button':'削除',",
ja,crud.delete.confirm,Are you sure you want to delete {{model}} \'{{record}}\'?,Are you sure you want to delete _model}} \'_record}}\'?,Are you sure you want to delete _model_var_ \'_record_var_\'?,あなたは '_ record_var_の\'を_model_var_の\を削除してもよろしいですか？,あなたは '_ record}}の\'を_model}}の\を削除してもよろしいですか？,あなたは '{{ record}}の\'を{{model}}の\を削除してもよろしいですか？,あなたは '{{ record}}の\'を{{model}}の\を削除してもよろしいですか？,"'crud.delete.confirm':'あなたは '{{ record}}の\'を{{model}}の\を削除してもよろしいですか？',",
